date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2004-08-01,26.29032258064516,31.625806451612902,21.27741935483871,2.6,177.89,746.04,19.43548387096774,8.812585644101912,-175.29,-2019.8800000000003,65.88518518518518,17.276814052651094,668.9000000000001,0.48645635962679934,0.8613298573750846
2004-09-01,23.92,29.33,19.013333333333332,4.0,138.5,584.63,18.006666666666668,6.442263063456753,-134.5,-2154.38,33.78048780487805,17.334036274873316,656.8000000000001,0.3852545998411571,0.7122800245956609
2004-10-01,20.9,26.538709677419355,16.429032258064517,36.4,109.36,446.29,18.1,3.42226306345675,-72.96000000000001,-2227.34,2.9961643835616436,17.431348102830302,608.3000000000001,-0.020388817481457735,0.2707632234263828
2004-11-01,12.796666666666665,16.973333333333333,9.593333333333334,68.7,50.36,297.67,14.963333333333333,-4.681070269876583,18.340000000000003,-2209.0,0.7319767441860465,17.226348102830304,614.3000000000001,0.029793873321339977,0.3876881130112379
2004-12-01,11.470967741935485,15.141935483870967,8.629032258064516,127.1,46.96,250.98,20.516129032258064,-6.006769194607763,80.13999999999999,-2128.86,0.36918238993710695,17.25457390928192,603.0,-0.06471686102392962,0.3266569107186662
2005-01-01,7.741935483870968,12.635483870967741,3.7225806451612904,77.7,44.91,321.05,16.04516129032258,-9.73580145267228,32.790000000000006,-2096.07,0.5772493573264781,16.980380360894824,607.2,-0.02958897746197084,0.39709657421658273
2005-02-01,8.142857142857142,12.114285714285714,4.814285714285715,97.3,53.56,342.94,19.114285714285717,-9.334879793686106,43.739999999999995,-2052.3300000000004,0.5498973305954826,16.711250640040962,672.6,0.517402352288524,0.8625059150257525
2005-03-01,12.051612903225807,17.05483870967742,7.887096774193548,59.8,82.35,529.9300000000001,18.39032258064516,-5.426124033317441,-22.549999999999997,-2074.8800000000006,1.3747913188647745,16.68087429595494,676.8,0.5525302358504819,0.8841701349064826
2005-04-01,14.903333333333334,19.796666666666667,10.616666666666667,22.2,111.79,667.12,20.4,-2.5744036032099142,-89.59,-2164.4700000000007,5.013004484304933,16.735596518177164,619.9,0.07663105140395042,0.5176734322956182
2005-05-01,19.22258064516129,24.700000000000003,13.72258064516129,3.3,154.82,808.63,18.561290322580643,1.744843708618042,-151.51999999999998,-2315.9900000000007,45.535294117647055,17.00629544290835,501.2,-0.9161498483113976,-0.47491922486834587
2005-06-01,23.243333333333332,28.779999999999998,17.626666666666665,0.0,176.61,817.76,18.36,5.765596396790084,-176.61,-2492.600000000001,1766.1000000000001,17.118795442908347,499.20000000000005,-0.9328774119123296,-0.5716654410785768
2005-07-01,25.629032258064516,31.248387096774195,20.148387096774194,0.5,197.43,840.79,20.13225806451613,8.151295321521268,-196.93,-2689.5300000000007,329.05,17.19272017409114,499.6,-0.9295318991921433,-0.6343678831905191
